,language,affix,meaning
0,fin,t,POS:nomin|NUMB:pl|CASE:nom|
1,fin,t,POS:nomin|NUMB:pl|CASE:acc|
2,fin,i,POS:nomin|NUMB:pl|
3,fin,j,POS:nomin|NUMB:pl|
4,fin,#,POS:nomin|NUMB:sg|CASE:nom|
5,fin,n,POS:nomin|CASE:gen|
6,fin,a,POS:nomin|CASE:par|
7,fin,ta,POS:nomin|CASE:par|
8,fin,tä,POS:nomin|CASE:par|
9,fin,ä,POS:nomin|CASE:par|
10,fin,tta,POS:nomin|NUMB:sg|CASE:par|
11,fin,ttä,POS:nomin|NUMB:sg|CASE:par|
12,fin,seen,POS:nomin|CASE:ill|
13,fin,siin,POS:nomin|CASE:ill|NUMB:pl|
14,fin,on,POS:nomin|CASE:ill|
15,fin,un,POS:nomin|CASE:ill|
16,fin,in,POS:nomin|CASE:ill|
17,fin,en,POS:nomin|CASE:ill|
18,fin,an,POS:nomin|CASE:ill|
19,fin,han,POS:nomin|CASE:ill|
20,fin,hen,POS:nomin|CASE:ill|
21,fin,hun,POS:nomin|CASE:ill|
22,fin,hon,POS:nomin|CASE:ill|
23,fin,hön,POS:nomin|CASE:ill|
24,fin,hän,POS:nomin|CASE:ill|
25,fin,hin,POS:nomin|CASE:ill|
26,fin,ssa,POS:nomin|CASE:ines|
27,fin,ssä,POS:nomin|CASE:ines|
28,fin,sta,POS:nomin|CASE:elat|
29,fin,stä,POS:nomin|CASE:elat|
30,fin,lla,POS:nomin|CASE:ades|
31,fin,llä,POS:nomin|CASE:ades|
32,fin,lle,POS:nomin|CASE:alla|
33,fin,lta,POS:nomin|CASE:abl|
34,fin,ltä,POS:nomin|CASE:abl|
35,fin,na,POS:nomin|CASE:ess|
36,fin,nä,POS:nomin|CASE:ess|
37,fin,ksi,POS:nomin|CASE:tran|
38,fin,tta,POS:nomin|CASE:abes|
39,fin,ttä,POS:nomin|CASE:abes|
40,fin,ine,POS:nomin|CASE:com|
41,fin,n,POS:nomin|CASE:inst|
42,fin,ni,POS:nomin|POSS|PERS_POSS:1|NUMB_POSS:sg|
43,fin,si,POS:nomin|POSS|PERS_POSS:2|NUMB_POSS:sg|
44,fin,nsa,POS:nomin|POSS|PERS_POSS:3|NUMB_POSS:sg|
45,fin,nsä,POS:nomin|POSS|PERS_POSS:3|NUMB_POSS:sg|
46,fin,mme,POS:nomin|POSS|PERS_POSS:1|NUMB_POSS:pl|
47,fin,nne,POS:nomin|POSS|PERS_POSS:2|NUMB_POSS:pl|
48,fin,nsa,POS:nomin|POSS|PERS_POSS:3|NUMB_POSS:pl|
49,fin,nsä,POS:nomin|POSS|PERS_POSS:3|NUMB_POSS:pl|
50,fin,a,POS:1inf|
51,fin,ä,POS:1inf|
52,fin,da,POS:2inf|
53,fin,dä,POS:2inf|
54,fin,ta,POS:3inf|
55,fin,tä,POS:3inf|
56,fin,la,POS:4inf|
57,fin,lä,POS:4inf|
58,fin,ra,POS:4inf|
59,fin,rä,POS:4inf|
60,fin,na,POS:4inf|
61,fin,nä,POS:4inf|
62,fin,n,POS:verb|PERS:1|NUMB:sg|
63,fin,t,POS:verb|PERS:2|NUMB:sg|
64,fin,mme,POS:verb|PERS:1|NUMB:pl|
65,fin,tte,POS:verb|PERS:2|NUMB:pl|
66,fin,vat,POS:verb|PERS:3|NUMB:pl|
67,fin,vät,POS:verb|PERS:3|NUMB:pl|
68,fin,i,POS:verb|TENSE:past|
69,fin,isi,POS:verb|MOOD:cond|
70,fin,ne,POS:verb|MOOD:pot|
71,fin,le,POS:verb|MOOD:pot|
72,fin,re,POS:verb|MOOD:pot|
73,fin,se,POS:verb|MOOD:pot|
74,fin,tta,POS:verb|VOICE:pass|
75,fin,ttä,POS:verb|VOICE:pass|
76,fin,ta,POS:verb|VOICE:pass|
77,fin,tä,POS:verb|VOICE:pass|
78,fin,tt,POS:verb|VOICE:pass|
79,fin,koon,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
80,fin,köön,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
81,fin,kaamme,POS:verb|MOOD:imp|PERS:1|NUMB:pl|
82,fin,käämme,POS:verb|MOOD:imp|PERS:1|NUMB:pl|
83,fin,kaa,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
84,fin,kää,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
85,fin,koot,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
86,fin,kööt,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
87,fin,nut,POS:part|TENSE:past|NUMB:sg|
88,fin,nyt,POS:part|TENSE:past|NUMB:sg|
89,fin,sut,POS:part|TENSE:past|NUMB:sg|
90,fin,syt,POS:part|TENSE:past|NUMB:sg|
91,fin,lut,POS:part|TENSE:past|NUMB:sg|
92,fin,lyt,POS:part|TENSE:past|NUMB:sg|
93,fin,rut,POS:part|TENSE:past|NUMB:sg|
94,fin,ryt,POS:part|TENSE:past|NUMB:sg|
95,fin,neet,POS:part|TENSE:past|NUMB:pl|
96,fin,leet,POS:part|TENSE:past|NUMB:pl|
97,fin,seet,POS:part|TENSE:past|NUMB:pl|
98,fin,reet,POS:part|TENSE:past|NUMB:pl|
99,fin,ko,POS:—|QUESTION
100,kar,t,POS:nomin|NUMB:pl|
101,kar,loi,POS:nomin|NUMB:pl|
102,kar,löi,POS:nomin|NUMB:pl|
103,kar,i,POS:nomin|NUMB:pl|
104,kar,n,POS:nomin|CASE:gen|
105,kar,a,POS:nomin|CASE:par|
106,kar,ä,POS:nomin|CASE:par|
107,kar,ta,POS:nomin|CASE:par|
108,kar,tä,POS:nomin|CASE:par|
109,kar,hš,POS:nomin|CASE:ill|
110,kar,šša,POS:nomin|CASE:ines|
111,kar,ssa,POS:nomin|CASE:ines|
112,kar,ššä,POS:nomin|CASE:ines|
113,kar,ssä,POS:nomin|CASE:ines|
114,kar,šta,POS:nomin|CASE:elat|
115,kar,štä,POS:nomin|CASE:elat|
116,kar,sta,POS:nomin|CASE:elat|
117,kar,stä,POS:nomin|CASE:elat|
118,kar,lta,POS:nomin|CASE:abl|
119,kar,ltä,POS:nomin|CASE:abl|
120,kar,lda,POS:nomin|CASE:abl|
121,kar,ldä,POS:nomin|CASE:abl|
122,kar,lla,POS:nomin|CASE:alla|
123,kar,llä,POS:nomin|CASE:alla|
124,kar,lla,POS:nomin|CASE:ades|
125,kar,llä,POS:nomin|CASE:ades|
126,kar,kši,POS:nomin|CASE:tran|
127,kar,ksi,POS:nomin|CASE:tran|
128,kar,kse,POS:nomin|CASE:tran|
129,kar,ks,POS:nomin|CASE:tran|
130,kar,na,POS:nomin|CASE:ess|
131,kar,nä,POS:nomin|CASE:ess|
132,kar,tta,POS:nomin|CASE:abes|
133,kar,ttä,POS:nomin|CASE:abes|
134,kar,neh,POS:nomin|CASE:com|
135,kar,ni,POS:nomin|POSS|PERS_POSS:1|NUMB_POSS:sg|
136,kar,š,POS:nomin|POSSPERS_POSS:2|NUMB_POSS:sg|
137,kar,h,POS:nomin|POSS|PERS_POSS:3|NUMB_POSS:sg|
138,kar,na,POS:nomin|POSS|PERS_POSS:1|NUMB_POSS:pl|
139,kar,nä,POS:nomin|POSS|PERS_POSS:1|NUMB_POSS:pl|
140,kar,na,POS:nomin|POSS|PERS_POSS:2|NUMB_POSS:pl|
141,kar,nä,POS:nomin|POSS|PERS_POSS:2|NUMB_POSS:pl|
142,kar,h,POS:nomin|POSS|PERS_POSS:2|NUMB_POSS:sg|
143,kar,n,POS:verb|TENSE:pres|PERS:1|NUMB:sg|
144,kar,t,POS:verb|TENSE:pres|PERS:2|NUMB:sg|
145,kar,u,POS:verb|TENSE:pres|PERS:3|NUMB:sg|
146,kar,y,POS:verb|TENSE:pres|PERS:3|NUMB:sg|
147,kar,mma,POS:verb|TENSE:pres|PERS:1|NUMB:pl|
148,kar,mmä,POS:verb|TENSE:pres|PERS:1|NUMB:pl|
149,kar,tta,POS:verb|TENSE:pres|PERS:2|NUMB:pl|
150,kar,ttä,POS:verb|TENSE:pres|PERS:2|NUMB:pl|
151,kar,h,POS:verb|TENSE:pres|PERS:3|NUMB:pl|
152,kar,n,POS:verb|TENSE:past|PERS:1|NUMB:sg|
153,kar,t,POS:verb|TENSE:past|PERS:2|NUMB:sg|
154,kar,ma,POS:verb|TENSE:past|PERS:1|NUMB:pl|
155,kar,mä,POS:verb|TENSE:past|PERS:1|NUMB:pl|
156,kar,ja,POS:verb|TENSE:past|PERS:2|NUMB:pl|
157,kar,jä,POS:verb|TENSE:past|PERS:2|NUMB:pl|
158,kar,tta,POS:verb|TENSE:past|PERS:2|NUMB:pl|
159,kar,ttä,POS:verb|TENSE:past|PERS:2|NUMB:pl|
160,kar,i,POS:verb|TENSE:past|
161,kar,si,POS:verb|TENSE:past|
162,kar,ne,POS:verb|MOOD:pot|
163,kar,no,POS:verb|MOOD:pot|
164,kar,nö,POS:verb|MOOD:pot|
165,kar,nne,POS:verb|MOOD:pot|
166,kar,nno,POS:verb|MOOD:pot|
167,kar,nnö,POS:verb|MOOD:pot|
168,kar,isi,POS:verb|MOOD:cond|
169,kar,si,POS:verb|MOOD:cond|
170,kar,is,POS:verb|MOOD:cond|NUMB:3|
171,kar,kkua,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
172,kar,kkyä,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
173,kar,kuä,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
174,kar,kyä,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
175,kar,kka,POS:verb|MOOD:cond|NUMB:3|
176,kar,kkä,POS:verb|MOOD:imp|PERS:1|NUMB:pl|
177,kar,ka,POS:verb|MOOD:imp|PERS:1|NUMB:pl|
178,kar,kä,POS:verb|MOOD:imp|PERS:1|NUMB:pl|
179,kar,kkah,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
180,kar,kkäh,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
181,kar,kah,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
182,kar,käh,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
183,kar,kkah,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
184,kar,kkäh,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
185,kar,kah,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
186,kar,käh,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
187,kar,e,POS:2inf|
188,kar,ma,POS:3inf|
189,kar,mä,POS:3inf|
190,kar,nun,POS:part|TENSE:past|
191,kar,nyn,POS:part|TENSE:past|
192,kar,n,POS:part|TENSE:past|
193,kar,ttu,POS:part|TENSE:past|VOICE:pass|
194,kar,tty,POS:part|TENSE:past|VOICE:pass|
195,kar,tu,POS:part|TENSE:past|VOICE:pass|
196,kar,ty,POS:part|TENSE:past|VOICE:pass|
197,est,d,POS:nomin|NUMB:pl|
198,est,de,POS:nomin|NUMB:pl|
199,est,te,POS:nomin|NUMB:pl|
200,est,i,POS:nomin|NUMB:pl|
201,est,ste,POS:nomin|NUMB:pl|
202,est,ste,POS:nomin|CASE:gen|NUMB:pl|
203,est,de,POS:nomin|CASE:gen|NUMB:pl|
204,est,te,POS:nomin|CASE:gen|NUMB:pl|
205,est,ke,POS:nomin|CASE:gen|NUMB:pl|
206,est,t,POS:nomin|CASE:par|
207,est,tt,POS:nomin|CASE:par|
208,est,d,POS:nomin|CASE:par|
209,est,da,POS:nomin|CASE:par|
210,est,sid,POS:nomin|CASE:par|NUMB:pl|
211,est,id,POS:nomin|CASE:par|NUMB:pl|
212,est,e,POS:nomin|CASE:par|NUMB:pl|
213,est,kke,POS:nomin|CASE:par|NUMB:pl|
214,est,sse,POS:nomin|CASE:ill|
215,est,ha,POS:nomin|CASE:ill|NUMB:sg|
216,est,hu,POS:nomin|CASE:ill|NUMB:sg|
217,est,he,POS:nomin|CASE:ill|NUMB:sg|
218,est,de,POS:nomin|CASE:ill|NUMB:sg|
219,est,s,POS:nomin|CASE:ines|
220,est,st,POS:nomin|CASE:elat|
221,est,le,POS:nomin|CASE:alla|
222,est,l,POS:nomin|CASE:ades|
223,est,lt,POS:nomin|CASE:abl|
224,est,ks,POS:nomin|CASE:tran|
225,est,ni,POS:nomin|CASE:term|
226,est,na,POS:nomin|CASE:ess|
227,est,ta,POS:nomin|CASE:abes|
228,est,ga,POS:nomin|CASE:com|
229,est,ma,POS:1inf|
230,est,mas,POS:1inf|
231,est,mast,POS:1inf|
232,est,mata,POS:1inf|
233,est,a,POS:2inf|
234,est,da,POS:2inf|
235,est,ta,POS:2inf|
236,est,la,POS:2inf|
237,est,na,POS:2inf|
238,est,ra,POS:2inf|
239,est,v,POS:part|TENSE:pres|
240,est,ev,POS:part|TENSE:pres|
241,est,nud,POS:part|TENSE:past|
242,est,n,POS:verb|PERS:1|NUMB:sg|
243,est,d,POS:verb|PERS:2|NUMB:sg|
244,est,b,POS:verb|PERS:3|NUMB:sg|
245,est,me,POS:verb|PERS:1|NUMB:pl|
246,est,te,POS:verb|PERS:2|NUMB:pl|
247,est,vad,POS:verb|PERS:3|NUMB:pl|
248,est,si,POS:verb|TENSE:past|
249,est,i,POS:verb|TENSE:past|
250,est,ksi,POS:verb|MOOD:cond|
251,est,ks,POS:verb|MOOD:cond|
